home_team,away_team,h_score,a_score,time
New York Yankees,Atlanta Braves,1.129073937733968,1.129073937733968,01:35:00PM
Pittsburgh Pirates,Tampa Bay Rays,1.129073937733968,1.129073937733968,01:35:00PM
Cincinnati Reds,Boston Red Sox,1.129073937733968,1.129073937733968,01:40:00PM
Cleveland Guardians,Toronto Blue Jays,1.129073937733968,1.129073937733968,01:40:00PM
Detroit Tigers,Chicago White Sox,1.129073937733968,1.129073937733968,01:40:00PM
Miami Marlins,Seattle Mariners,1.129073937733968,1.129073937733968,01:40:00PM
Houston Astros,Baltimore Orioles,1.129073937733968,1.129073937733968,02:10:00PM
St. Louis Cardinals,San Francisco Giants,1.129073937733968,1.129073937733968,02:15:00PM
Texas Rangers,Kansas City Royals,1.129073937733968,1.129073937733968,02:35:00PM
Colorado Rockies,Washington Nationals,1.129073937733968,1.129073937733968,03:10:00PM
Oakland Athletics,Minnesota Twins,1.129073937733968,1.129073937733968,04:07:00PM
San Diego Padres,Milwaukee Brewers,1.129073937733968,1.129073937733968,04:10:00PM
Chicago Cubs,New York Mets,1.129073937733968,1.129073937733968,07:00:00PM
Philadelphia Phillies,Arizona Diamondbacks,1.129073937733968,1.129073937733968,11:36:05AM
