,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Notes
0.0,2024-12-03,North Carolina A&T,71,Hampton,82,,
0.0,2024-12-03,Northwestern,79,Iowa,80,,
0.0,2024-12-03,Evansville,61,Murray State,63,,
1.0,2024-12-03,Bradley,83,Southern Illinois,60,,
1.0,2024-12-03,Washington,58,UCLA,69,,
2.0,2024-12-03,Michigan,67,Wisconsin,64,,
2.0,2024-12-04,Illinois State,97,Belmont,99,OT,
0.0,2024-12-04,Rider,75,Fairfield,78,,
0.0,2024-12-04,San Diego State,84,Fresno State,62,,
0.0,2024-12-04,Green Bay,75,IU Indy,84,,
3.0,2024-12-04,Northern Iowa,83,Illinois-Chicago,56,,
3.0,2024-12-04,Ohio State,59,Maryland,83,,
4.0,2024-12-04,Michigan State,90,Minnesota,72,,
1.0,2024-12-04,San Jose State,77,New Mexico,83,,
1.0,2024-12-04,Youngstown State,72,Robert Morris,58,,
5.0,2024-12-04,Oregon,68,Southern California,60,,
2.0,2024-12-04,Wyoming,67,Utah State,70,,
0.0,2024-12-05,Long Beach State,73,Cal State Fullerton,56,,
1.0,2024-12-05,UC Riverside,68,Cal State Northridge,64,,
2.0,2024-12-05,Purdue Fort Wayne,78,Detroit Mercy,79,,
0.0,2024-12-05,East Texas A&M,79,Houston Christian,83,,
1.0,2024-12-05,Northwestern State,72,Incarnate Word,70,,
3.0,2024-12-05,Cleveland State,67,Milwaukee,79,,
2.0,2024-12-05,Southeastern Louisiana,64,Nicholls State,67,,
4.0,2024-12-05,Wright State,64,Oakland,66,,
6.0,2024-12-05,Purdue,70,Penn State,81,,
3.0,2024-12-05,Lamar,65,Texas A&M-Corpus Christi,61,,
4.0,2024-12-05,Stephen F. Austin,65,Texas-Rio Grande Valley,68,,
2.0,2024-12-05,Cal Poly,66,UC Davis,77,,
3.0,2024-12-05,Cal State Bakersfield,66,UC Irvine,82,,
4.0,2024-12-05,UC San Diego,84,UC Santa Barbara,76,,
4.0,2024-12-05,Drake,66,Valparaiso,60,,
1.0,2024-12-06,Merrimack,60,Canisius,52,,
2.0,2024-12-06,Mount St. Mary's,50,Marist,53,,
3.0,2024-12-06,Siena,68,Niagara,69,,
7.0,2024-12-06,Illinois,66,Northwestern,70,OT,
4.0,2024-12-06,Quinnipiac,72,Rider,67,,
5.0,2024-12-06,Iona,59,Sacred Heart,83,,
6.0,2024-12-06,Manhattan,70,Saint Peter's,67,,
5.0,2024-12-07,Cal State Northridge,102,Cal Poly,91,,
0.0,2024-12-07,Stanford,89,California,81,,
5.0,2024-12-07,Wright State,80,Detroit Mercy,72,,
6.0,2024-12-07,Cleveland State,83,Green Bay,61,,
5.0,2024-12-07,Northwestern State,64,Houston Christian,57,,
7.0,2024-12-07,Northern Kentucky,66,IU Indy,64,,
6.0,2024-12-07,East Texas A&M,53,Incarnate Word,65,,
6.0,2024-12-07,Hawaii,68,Long Beach State,76,,
1.0,2024-12-07,Clemson,65,Miami (FL),55,,
8.0,2024-12-07,Iowa,83,Michigan,85,,
9.0,2024-12-07,Nebraska,52,Michigan State,89,,
5.0,2024-12-07,Indiana State,80,Missouri State,77,,
2.0,2024-12-07,Florida State,74,NC State,84,OT,
7.0,2024-12-07,New Orleans,70,Nicholls State,73,,
3.0,2024-12-07,Georgia Tech,65,North Carolina,68,,
4.0,2024-12-07,Syracuse,64,Notre Dame,69,,
10.0,2024-12-07,Rutgers,66,Ohio State,80,,
5.0,2024-12-07,Virginia,51,Southern Methodist,63,,
8.0,2024-12-07,Stephen F. Austin,48,Texas A&M-Corpus Christi,67,,
9.0,2024-12-07,Lamar,84,Texas-Rio Grande Valley,52,,
7.0,2024-12-07,UC Santa Barbara,60,UC Davis,71,,
8.0,2024-12-07,Cal State Fullerton,68,UC Riverside,75,,
9.0,2024-12-07,Cal State Bakersfield,60,UC San Diego,81,,
6.0,2024-12-07,Pittsburgh,64,Virginia Tech,59,,
7.0,2024-12-07,Boston College,66,Wake Forest,72,,
11.0,2024-12-07,Southern California,85,Washington,61,,
8.0,2024-12-07,Oakland,50,Youngstown State,66,,
7.0,2024-12-08,Siena,66,Canisius,53,,
8.0,2024-12-08,Saint Peter's,63,Iona,72,,
8.0,2024-12-08,Duke,76,Louisville,65,,
9.0,2024-12-08,Marist,82,Manhattan,75,,
10.0,2024-12-08,Fairfield,94,Mount St. Mary's,101,,
11.0,2024-12-08,Merrimack,80,Niagara,62,,
12.0,2024-12-08,UCLA,73,Oregon,71,,
13.0,2024-12-08,Maryland,78,Purdue,83,,
9.0,2024-12-08,Robert Morris,77,Purdue Fort Wayne,82,,
12.0,2024-12-08,Sacred Heart,73,Quinnipiac,83,,
14.0,2024-12-09,Minnesota,67,Indiana,82,,
0.0,2024-12-10,Providence,70,DePaul,63,OT,
15.0,2024-12-10,Wisconsin,80,Illinois,86,,
16.0,2024-12-10,Penn State,76,Rutgers,80,,
10.0,2024-12-11,Milwaukee,88,Green Bay,67,,
11.0,2024-12-11,IU Indy,76,Purdue Fort Wayne,78,,
17.0,2024-12-13,Indiana,68,Nebraska,85,,
1.0,2024-12-17,St. John's (NY),,DePaul,,,
2.0,2024-12-17,Seton Hall,,Villanova,,,
0.0,2024-12-17,Tennessee Tech,,Western Illinois,,,
