,Unnamed: 0,Date,time,away_team,PTS,home_team,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
0,0.0,2024-10-22,7:30PM,New York Knicks,109,Boston Celtics,132,Box Score,,19156,2:04,TD Garden,
1,1.0,2024-10-22,10:00PM,Minnesota Timberwolves,103,Los Angeles Lakers,110,Box Score,,18997,2:26,Crypto.com Arena,
2,2.0,2024-10-23,7:00PM,Indiana Pacers,115,Detroit Pistons,109,Box Score,,20062,2:23,Little Caesars Arena,
3,3.0,2024-10-23,7:30PM,Brooklyn Nets,116,Atlanta Hawks,120,Box Score,,17548,2:33,State Farm Arena,
4,4.0,2024-10-23,7:30PM,Orlando Magic,116,Miami Heat,97,Box Score,,19630,2:31,Kaseya Center,
5,5.0,2024-10-23,7:30PM,Milwaukee Bucks,124,Philadelphia 76ers,109,Box Score,,19754,2:28,Wells Fargo Center,
6,6.0,2024-10-23,7:30PM,Cleveland Cavaliers,136,Toronto Raptors,106,Box Score,,19800,2:18,Scotiabank Arena,
7,7.0,2024-10-23,8:00PM,Charlotte Hornets,110,Houston Rockets,105,Box Score,,18055,2:20,Toyota Center,
8,8.0,2024-10-23,8:00PM,Chicago Bulls,111,New Orleans Pelicans,123,Box Score,,18581,2:11,Smoothie King Center,
9,9.0,2024-10-23,9:00PM,Memphis Grizzlies,126,Utah Jazz,124,Box Score,,18175,2:33,Delta Center,
10,10.0,2024-10-23,10:00PM,Phoenix Suns,116,Los Angeles Clippers,113,Box Score,OT,18300,2:45,Intuit Dome,
11,11.0,2024-10-23,10:00PM,Golden State Warriors,140,Portland Trail Blazers,104,Box Score,,19480,2:17,Moda Center,
12,12.0,2024-10-24,7:00PM,Boston Celtics,122,Washington Wizards,102,Box Score,,18610,2:11,Capital One Arena,
13,13.0,2024-10-24,7:30PM,San Antonio Spurs,109,Dallas Mavericks,120,Box Score,,20373,2:18,American Airlines Center,
14,14.0,2024-10-24,10:00PM,Minnesota Timberwolves,117,Sacramento Kings,115,Box Score,,18049,2:22,Golden 1 Center,
15,15.0,2024-10-24,10:00PM,Oklahoma City Thunder,102,Denver Nuggets,87,Box Score,,19786,2:10,Ball Arena,
16,16.0,2024-10-25,7:00PM,Brooklyn Nets,101,Orlando Magic,116,Box Score,,19087,2:31,Kia Center,
17,17.0,2024-10-25,7:00PM,Philadelphia 76ers,107,Toronto Raptors,115,Box Score,,18345,2:47,Scotiabank Arena,
18,18.0,2024-10-25,7:30PM,Charlotte Hornets,120,Atlanta Hawks,125,Box Score,,14433,2:32,State Farm Arena,
19,19.0,2024-10-25,7:30PM,Detroit Pistons,101,Cleveland Cavaliers,113,Box Score,,19432,2:10,Rocket Mortgage Fieldhouse,
20,20.0,2024-10-25,7:30PM,Indiana Pacers,98,New York Knicks,123,Box Score,,19812,2:21,Madison Square Garden (IV),
21,21.0,2024-10-25,8:00PM,Memphis Grizzlies,108,Houston Rockets,128,Box Score,,18055,2:31,Toyota Center,
22,22.0,2024-10-25,8:00PM,Chicago Bulls,133,Milwaukee Bucks,122,Box Score,,17790,2:13,Fiserv Forum,
23,23.0,2024-10-25,9:30PM,Golden State Warriors,127,Utah Jazz,86,Box Score,,18175,2:07,Delta Center,
24,24.0,2024-10-25,10:00PM,Phoenix Suns,116,Los Angeles Lakers,123,Box Score,,18997,2:17,Crypto.com Arena,
26,26.0,2024-10-25,10:00PM,New Orleans Pelicans,105,Portland Trail Blazers,103,Box Score,,16190,2:23,Moda Center,
27,27.0,2024-10-26,5:00PM,Los Angeles Clippers,109,Denver Nuggets,104,Box Score,,19691,2:23,Ball Arena,
28,28.0,2024-10-26,7:00PM,Cleveland Cavaliers,135,Washington Wizards,116,Box Score,,15156,2:23,Capital One Arena,
29,29.0,2024-10-26,7:00PM,Boston Celtics,124,Detroit Pistons,118,Box Score,,19311,2:00,Little Caesars Arena,
30,30.0,2024-10-26,7:00PM,Miami Heat,114,Charlotte Hornets,106,Box Score,,19102,2:23,Spectrum Center,
31,31.0,2024-10-26,8:00PM,Orlando Magic,111,Memphis Grizzlies,124,Box Score,,17809,2:16,FedEx Forum,
32,32.0,2024-10-26,8:00PM,Toronto Raptors,101,Minnesota Timberwolves,112,Box Score,,18978,2:12,Target Center,
33,33.0,2024-10-26,8:00PM,Oklahoma City Thunder,114,Chicago Bulls,95,Box Score,,20923,2:09,United Center,
34,34.0,2024-10-26,8:30PM,Houston Rockets,106,San Antonio Spurs,109,Box Score,,18715,2:26,Frost Bank Center,
35,35.0,2024-10-26,10:00PM,Dallas Mavericks,102,Phoenix Suns,114,Box Score,,17071,2:22,Footprint Center,
36,36.0,2024-10-26,10:30PM,Sacramento Kings,127,Los Angeles Lakers,131,Box Score,,18997,2:18,Crypto.com Arena,
37,37.0,2024-10-27,3:30PM,Philadelphia 76ers,118,Indiana Pacers,114,Box Score,OT,17274,2:52,Gainbridge Fieldhouse,
38,38.0,2024-10-27,6:00PM,New Orleans Pelicans,103,Portland Trail Blazers,125,Box Score,,16138,2:09,Moda Center,
39,39.0,2024-10-27,6:00PM,Milwaukee Bucks,102,Brooklyn Nets,115,Box Score,,17926,2:19,Barclays Center,
40,40.0,2024-10-27,7:00PM,Atlanta Hawks,104,Oklahoma City Thunder,128,Box Score,,18203,2:23,Paycom Center,
41,41.0,2024-10-27,8:30PM,Los Angeles Clippers,112,Golden State Warriors,104,Box Score,,18064,2:22,Chase Center,
42,42.0,2024-10-28,7:00PM,Indiana Pacers,115,Orlando Magic,119,Box Score,,18846,2:31,Kia Center,
43,43.0,2024-10-28,7:30PM,Washington Wizards,121,Atlanta Hawks,119,Box Score,,14566,2:26,State Farm Arena,
44,44.0,2024-10-28,7:30PM,Milwaukee Bucks,108,Boston Celtics,119,Box Score,,19156,2:18,TD Garden,
45,45.0,2024-10-28,7:30PM,Denver Nuggets,127,Toronto Raptors,125,Box Score,OT,19082,2:35,Scotiabank Arena,
46,46.0,2024-10-28,7:30PM,Detroit Pistons,98,Miami Heat,106,Box Score,,19626,2:18,Kaseya Center,
47,47.0,2024-10-28,7:30PM,Cleveland Cavaliers,110,New York Knicks,104,Box Score,,19812,2:23,Madison Square Garden (IV),
