,Conference,Date,time,home_team,away_team
0,big-ten,2024-12-03,12:00AM,iowa:Iowa,northwestern:Northwestern
1,big-ten,2024-12-03,12:00AM,ucla:UCLA,washington:Washington
2,big-ten,2024-12-03,12:00AM,wisconsin:Wisconsin,michigan:Michigan
0,coastal,2024-12-03,12:00AM,hampton:Hampton,north-carolina-at:North Carolina A&T
0,mvc,2024-12-03,12:00AM,murray-state:Murray State,evansville:Evansville
1,mvc,2024-12-03,12:00AM,southern-illinois:Southern Illinois,bradley:Bradley
3,big-ten,2024-12-04,12:00AM,maryland:Maryland,ohio-state:Ohio State
4,big-ten,2024-12-04,12:00AM,minnesota:Minnesota,michigan-state:Michigan State
5,big-ten,2024-12-04,12:00AM,southern-california:Southern California,oregon:Oregon
0,horizon,2024-12-04,12:00AM,iupui:IU Indy,green-bay:Green Bay
1,horizon,2024-12-04,12:00AM,robert-morris:Robert Morris,youngstown-state:Youngstown State
0,maac,2024-12-04,12:00AM,fairfield:Fairfield,rider:Rider
2,mvc,2024-12-04,12:00AM,belmont:Belmont,illinois-state:Illinois State
3,mvc,2024-12-04,12:00AM,illinois-chicago:Illinois-Chicago,northern-iowa:Northern Iowa
0,mwc,2024-12-04,12:00AM,fresno-state:Fresno State,san-diego-state:San Diego State
1,mwc,2024-12-04,12:00AM,new-mexico:New Mexico,san-jose-state:San Jose State
2,mwc,2024-12-04,12:00AM,utah-state:Utah State,wyoming:Wyoming
6,big-ten,2024-12-05,12:00AM,penn-state:Penn State,purdue:Purdue
0,big-west,2024-12-05,12:00AM,cal-state-fullerton:Cal State Fullerton,long-beach-state:Long Beach State
1,big-west,2024-12-05,12:00AM,cal-state-northridge:Cal State Northridge,california-riverside:UC Riverside
2,big-west,2024-12-05,12:00AM,california-davis:UC Davis,cal-poly:Cal Poly
3,big-west,2024-12-05,12:00AM,california-irvine:UC Irvine,cal-state-bakersfield:Cal State Bakersfield
4,big-west,2024-12-05,12:00AM,california-santa-barbara:UC Santa Barbara,california-san-diego:UC San Diego
2,horizon,2024-12-05,12:00AM,detroit-mercy:Detroit Mercy,ipfw:Purdue Fort Wayne
3,horizon,2024-12-05,12:00AM,milwaukee:Milwaukee,cleveland-state:Cleveland State
4,horizon,2024-12-05,12:00AM,oakland:Oakland,wright-state:Wright State
4,mvc,2024-12-05,12:00AM,valparaiso:Valparaiso,drake:Drake
0,southland,2024-12-05,12:00AM,houston-baptist:Houston Christian,texas-am-commerce:East Texas A&M
1,southland,2024-12-05,12:00AM,incarnate-word:Incarnate Word,northwestern-state:Northwestern State
2,southland,2024-12-05,12:00AM,nicholls-state:Nicholls State,southeastern-louisiana:Southeastern Louisiana
3,southland,2024-12-05,12:00AM,texas-am-corpus-christi:Texas A&M-Corpus Christi,lamar:Lamar
4,southland,2024-12-05,12:00AM,texas-pan-american:Texas-Rio Grande Valley,stephen-f-austin:Stephen F. Austin
7,big-ten,2024-12-06,12:00AM,northwestern:Northwestern,illinois:Illinois
1,maac,2024-12-06,12:00AM,canisius:Canisius,merrimack:Merrimack
2,maac,2024-12-06,12:00AM,marist:Marist,mount-st-marys:Mount St. Mary's
3,maac,2024-12-06,12:00AM,niagara:Niagara,siena:Siena
4,maac,2024-12-06,12:00AM,rider:Rider,quinnipiac:Quinnipiac
5,maac,2024-12-06,12:00AM,sacred-heart:Sacred Heart,iona:Iona
6,maac,2024-12-06,12:00AM,saint-peters:Saint Peter's,manhattan:Manhattan
0,acc,2024-12-07,12:00AM,california:California,stanford:Stanford
1,acc,2024-12-07,12:00AM,miami-fl:Miami (FL),clemson:Clemson
2,acc,2024-12-07,12:00AM,north-carolina-state:NC State,florida-state:Florida State
3,acc,2024-12-07,12:00AM,north-carolina:North Carolina,georgia-tech:Georgia Tech
4,acc,2024-12-07,12:00AM,notre-dame:Notre Dame,syracuse:Syracuse
5,acc,2024-12-07,12:00AM,southern-methodist:Southern Methodist,virginia:Virginia
6,acc,2024-12-07,12:00AM,virginia-tech:Virginia Tech,pittsburgh:Pittsburgh
7,acc,2024-12-07,12:00AM,wake-forest:Wake Forest,boston-college:Boston College
9,big-ten,2024-12-07,12:00AM,michigan-state:Michigan State,nebraska:Nebraska
8,big-ten,2024-12-07,12:00AM,michigan:Michigan,iowa:Iowa
10,big-ten,2024-12-07,12:00AM,ohio-state:Ohio State,rutgers:Rutgers
11,big-ten,2024-12-07,12:00AM,washington:Washington,southern-california:Southern California
5,big-west,2024-12-07,12:00AM,cal-poly:Cal Poly,cal-state-northridge:Cal State Northridge
7,big-west,2024-12-07,12:00AM,california-davis:UC Davis,california-santa-barbara:UC Santa Barbara
8,big-west,2024-12-07,12:00AM,california-riverside:UC Riverside,cal-state-fullerton:Cal State Fullerton
9,big-west,2024-12-07,12:00AM,california-san-diego:UC San Diego,cal-state-bakersfield:Cal State Bakersfield
6,big-west,2024-12-07,12:00AM,long-beach-state:Long Beach State,hawaii:Hawaii
5,horizon,2024-12-07,12:00AM,detroit-mercy:Detroit Mercy,wright-state:Wright State
6,horizon,2024-12-07,12:00AM,green-bay:Green Bay,cleveland-state:Cleveland State
7,horizon,2024-12-07,12:00AM,iupui:IU Indy,northern-kentucky:Northern Kentucky
8,horizon,2024-12-07,12:00AM,youngstown-state:Youngstown State,oakland:Oakland
5,mvc,2024-12-07,12:00AM,missouri-state:Missouri State,indiana-state:Indiana State
5,southland,2024-12-07,12:00AM,houston-baptist:Houston Christian,northwestern-state:Northwestern State
6,southland,2024-12-07,12:00AM,incarnate-word:Incarnate Word,texas-am-commerce:East Texas A&M
7,southland,2024-12-07,12:00AM,nicholls-state:Nicholls State,new-orleans:New Orleans
8,southland,2024-12-07,12:00AM,texas-am-corpus-christi:Texas A&M-Corpus Christi,stephen-f-austin:Stephen F. Austin
9,southland,2024-12-07,12:00AM,texas-pan-american:Texas-Rio Grande Valley,lamar:Lamar
8,acc,2024-12-08,12:00AM,louisville:Louisville,duke:Duke
12,big-ten,2024-12-08,12:00AM,oregon:Oregon,ucla:UCLA
13,big-ten,2024-12-08,12:00AM,purdue:Purdue,maryland:Maryland
