,Date,time,home_team,away_team
2,2025-08-23,06:00PM,iowa-state:Iowa State,kansas-state:Kansas State
0,2025-08-23,06:30PM,kansas:Kansas,fresno-state:Fresno State
3,2025-08-23,07:00PM,western-kentucky:Western Kentucky,sam-houston-state:Sam Houston
4,2025-08-23,07:30PM,hawaii:Hawaii,stanford:Stanford
7,2025-08-28,05:30PM,south-florida:South Florida,boise-state:Boise State
17,2025-08-28,06:00PM,rutgers:Rutgers,ohio:Ohio
22,2025-08-28,07:00PM,akron:Akron,wyoming:Wyoming
13,2025-08-28,07:00PM,central-florida:Central Florida,jacksonville-state:Jacksonville State
11,2025-08-28,07:00PM,north-carolina-state:North Carolina State,east-carolina:East Carolina
8,2025-08-28,08:00PM,minnesota:Minnesota,buffalo:Buffalo
16,2025-08-28,09:00PM,cincinnati:Cincinnati,nebraska:Nebraska
15,2025-08-28,09:00PM,wisconsin:Wisconsin,miami-oh:Miami (OH)
23,2025-08-29,07:00PM,charlotte:Charlotte,appalachian-state:Appalachian State
33,2025-08-29,07:00PM,michigan-state:Michigan State,western-michigan:Western Michigan
28,2025-08-29,07:00PM,wake-forest:Wake Forest,kennesaw-state:Kennesaw State
24,2025-08-29,08:00PM,baylor:Baylor,auburn:Auburn
27,2025-08-29,08:00PM,colorado:Colorado,georgia-tech:Georgia Tech
29,2025-08-29,09:30PM,sam-houston-state:Sam Houston,nevada-las-vegas:Nevada-Las Vegas
26,2025-08-29,10:30PM,san-jose-state:San Jose State,central-michigan:Central Michigan
77,2025-08-30,02:30PM,indiana:Indiana,old-dominion:Old Dominion
35,2025-08-30,03:30PM,florida-state:Florida State,alabama:Alabama
64,2025-08-30,03:30PM,georgia:Georgia,marshall:Marshall
84,2025-08-30,03:30PM,massachusetts:Massachusetts,temple:Temple
70,2025-08-30,03:30PM,penn-state:Penn State,nevada:Nevada
47,2025-08-30,06:00PM,virginia:Virginia,coastal-carolina:Coastal Carolina
54,2025-08-30,06:30PM,fresno-state:Fresno State,georgia-southern:Georgia Southern
89,2025-08-30,07:00PM,texas-am:Texas A&M,texas-san-antonio:Texas-San Antonio
62,2025-08-30,07:30PM,clemson:Clemson,louisiana-state:Louisiana State
67,2025-08-30,07:30PM,southern-california:Southern California,missouri-state:Missouri State
88,2025-08-30,07:30PM,utah-state:Utah State,texas-el-paso:Texas-El Paso
55,2025-08-30,07:45PM,mississippi:Mississippi,georgia-state:Georgia State
51,2025-08-30,08:00AM,texas-state:Texas State,eastern-michigan:Eastern Michigan
79,2025-08-30,08:00PM,louisiana-lafayette:Louisiana,rice:Rice
71,2025-08-30,09:30PM,michigan:Michigan,new-mexico:New Mexico
48,2025-08-30,10:00AM,washington:Washington,colorado-state:Colorado State
56,2025-08-30,10:30PM,arizona:Arizona,hawaii:Hawaii
43,2025-08-30,10:30PM,oregon-state:Oregon State,california:California
91,2025-08-30,11:00PM,ucla:UCLA,utah:Utah
52,2025-08-30,12:00PM,maryland:Maryland,florida-atlantic:Florida Atlantic
86,2025-08-30,12:00PM,ohio-state:Ohio State,texas:Texas
40,2025-08-30,12:00PM,purdue:Purdue,ball-state:Ball State
66,2025-08-30,12:00PM,southern-mississippi:Southern Mississippi,mississippi-state:Mississippi State
85,2025-08-30,12:00PM,syracuse:Syracuse,tennessee:Tennessee
76,2025-08-30,12:00PM,tulane:Tulane,northwestern:Northwestern
90,2025-08-30,12:45PM,kentucky:Kentucky,toledo:Toledo
95,2025-08-31,03:00PM,south-carolina:South Carolina,virginia-tech:Virginia Tech
94,2025-08-31,07:30PM,miami-fl:Miami (FL),notre-dame:Notre Dame
96,2025-09-01,08:00PM,north-carolina:North Carolina,texas-christian:Texas Christian
99,2025-09-05,07:00PM,louisville:Louisville,james-madison:James Madison
100,2025-09-05,07:30PM,maryland:Maryland,northern-illinois:Northern Illinois
112,2025-09-06,03:30PM,cincinnati:Cincinnati,bowling-green-state:Bowling Green
169,2025-09-06,03:30PM,clemson:Clemson,troy:Troy
120,2025-09-06,03:30PM,colorado:Colorado,delaware:Delaware
147,2025-09-06,03:30PM,kentucky:Kentucky,mississippi:Mississippi
134,2025-09-06,03:30PM,missouri:Missouri,kansas:Kansas
103,2025-09-06,03:30PM,navy:Navy,alabama-birmingham:Alabama-Birmingham
124,2025-09-06,03:30PM,oregon-state:Oregon State,fresno-state:Fresno State
156,2025-09-06,03:30PM,oregon:Oregon,oklahoma-state:Oklahoma State
144,2025-09-06,03:30PM,rutgers:Rutgers,miami-oh:Miami (OH)
168,2025-09-06,03:30PM,texas-san-antonio:Texas-San Antonio,texas-state:Texas State
152,2025-09-06,03:30PM,western-michigan:Western Michigan,north-texas:North Texas
177,2025-09-06,04:00PM,ohio:Ohio,west-virginia:West Virginia
146,2025-09-06,04:00PM,wisconsin:Wisconsin,middle-tennessee-state:Middle Tennessee State
161,2025-09-06,04:15PM,florida:Florida,south-florida:South Florida
126,2025-09-06,04:30PM,southern-california:Southern California,georgia-southern:Georgia Southern
105,2025-09-06,05:00PM,arkansas:Arkansas,arkansas-state:Arkansas State
148,2025-09-06,06:00PM,marshall:Marshall,missouri-state:Missouri State
149,2025-09-06,07:00AM,charlotte:Charlotte,north-carolina:North Carolina
143,2025-09-06,07:00PM,georgia-state:Georgia State,memphis:Memphis
106,2025-09-06,07:00PM,kansas-state:Kansas State,army:Army
128,2025-09-06,07:00PM,rice:Rice,houston:Houston
170,2025-09-06,07:00PM,south-alabama:South Alabama,tulane:Tulane
179,2025-09-06,07:00PM,toledo:Toledo,western-kentucky:Western Kentucky
108,2025-09-06,07:30PM,auburn:Auburn,ball-state:Ball State
140,2025-09-06,07:30PM,louisiana-state:Louisiana State,louisiana-tech:Louisiana Tech
111,2025-09-06,07:30PM,michigan-state:Michigan State,boston-college:Boston College
104,2025-09-06,07:30PM,mississippi-state:Mississippi State,arizona-state:Arizona State
102,2025-09-06,07:30PM,nebraska:Nebraska,akron:Akron
145,2025-09-06,07:30PM,oklahoma:Oklahoma,michigan:Michigan
174,2025-09-06,07:30PM,virginia-tech:Virginia Tech,vanderbilt:Vanderbilt
141,2025-09-06,07:45PM,alabama:Alabama,louisiana-monroe:Louisiana-Monroe
172,2025-09-06,08:00PM,nevada-las-vegas:Nevada-Las Vegas,ucla:UCLA
171,2025-09-06,09:00PM,new-mexico-state:New Mexico State,tulsa:Tulsa
164,2025-09-06,10:15PM,brigham-young:Brigham Young,stanford:Stanford
158,2025-09-06,10:15PM,washington-state:Washington State,san-diego-state:San Diego State
131,2025-09-06,12:00PM,duke:Duke,illinois:Illinois
135,2025-09-06,12:00PM,indiana:Indiana,kennesaw-state:Kennesaw State
132,2025-09-06,12:00PM,iowa-state:Iowa State,iowa:Iowa
137,2025-09-06,12:00PM,jacksonville-state:Jacksonville State,liberty:Liberty
175,2025-09-06,12:00PM,north-carolina-state:North Carolina State,virginia:Virginia
123,2025-09-06,12:00PM,penn-state:Penn State,florida-international:Florida International
117,2025-09-06,12:00PM,pittsburgh:Pittsburgh,central-michigan:Central Michigan
109,2025-09-06,12:00PM,southern-methodist:Southern Methodist,baylor:Baylor
119,2025-09-06,12:00PM,syracuse:Syracuse,connecticut:Connecticut
136,2025-09-06,12:00PM,texas-tech:Texas Tech,kent-state:Kent State
159,2025-09-06,12:00PM,texas:Texas,san-jose-state:San Jose State
173,2025-09-06,12:45PM,texas-am:Texas A&M,utah-state:Utah State
180,2025-09-07,12:00AM,hawaii:Hawaii,sam-houston-state:Sam Houston
182,2025-09-11,07:30PM,wake-forest:Wake Forest,north-carolina-state:North Carolina State
184,2025-09-12,07:30PM,houston:Houston,colorado:Colorado
186,2025-09-12,09:00PM,arizona:Arizona,kansas-state:Kansas State
187,2025-09-12,10:00PM,ucla:UCLA,new-mexico:New Mexico
198,2025-09-13,03:00PM,delaware:Delaware,connecticut:Connecticut
238,2025-09-13,03:30PM,missouri-state:Missouri State,southern-methodist:Southern Methodist
246,2025-09-13,03:30PM,north-texas:North Texas,washington-state:Washington State
237,2025-09-13,03:30PM,purdue:Purdue,southern-california:Southern California
205,2025-09-13,03:30PM,tennessee:Tennessee,georgia:Georgia
229,2025-09-13,03:30PM,texas-tech:Texas Tech,oregon-state:Oregon State
230,2025-09-13,03:30PM,west-virginia:West Virginia,pittsburgh:Pittsburgh
208,2025-09-13,04:00PM,arkansas-state:Arkansas State,iowa-state:Iowa State
211,2025-09-13,04:00PM,missouri:Missouri,louisiana-lafayette:Louisiana
241,2025-09-13,04:15PM,texas:Texas,texas-el-paso:Texas-El Paso
235,2025-09-13,04:30PM,miami-fl:Miami (FL),south-florida:South Florida
210,2025-09-13,05:00PM,bowling-green-state:Bowling Green,liberty:Liberty
215,2025-09-13,05:00PM,nevada:Nevada,middle-tennessee-state:Middle Tennessee State
204,2025-09-13,06:00PM,florida-international:Florida International,florida-atlantic:Florida Atlantic
247,2025-09-13,07:00PM,illinois:Illinois,western-michigan:Western Michigan
225,2025-09-13,07:00PM,ohio-state:Ohio State,ohio:Ohio
192,2025-09-13,07:00PM,southern-mississippi:Southern Mississippi,appalachian-state:Appalachian State
227,2025-09-13,07:00PM,virginia-tech:Virginia Tech,old-dominion:Old Dominion
200,2025-09-13,07:30PM,coastal-carolina:Coastal Carolina,east-carolina:East Carolina
212,2025-09-13,07:30PM,iowa:Iowa,massachusetts:Massachusetts
202,2025-09-13,07:30PM,kentucky:Kentucky,eastern-michigan:Eastern Michigan
203,2025-09-13,07:30PM,louisiana-state:Louisiana State,florida:Florida
222,2025-09-13,07:30PM,louisiana-tech:Louisiana Tech,new-mexico-state:New Mexico State
239,2025-09-13,07:30PM,notre-dame:Notre Dame,texas-am:Texas A&M
209,2025-09-13,08:00PM,georgia-southern:Georgia Southern,jacksonville-state:Jacksonville State
199,2025-09-13,08:00PM,tulane:Tulane,duke:Duke
220,2025-09-13,08:00PM,tulsa:Tulsa,navy:Navy
243,2025-09-13,08:00PM,wyoming:Wyoming,utah:Utah
190,2025-09-13,08:30PM,alabama-birmingham:Alabama-Birmingham,akron:Akron
189,2025-09-13,09:45PM,utah-state:Utah State,air-force:Air Force
240,2025-09-13,10:30PM,arizona-state:Arizona State,texas-state:Texas State
216,2025-09-13,10:30PM,california:California,minnesota:Minnesota
194,2025-09-13,10:30PM,stanford:Stanford,boston-college:Boston College
249,2025-09-13,12:00PM,alabama:Alabama,wisconsin:Wisconsin
197,2025-09-13,12:00PM,georgia-tech:Georgia Tech,clemson:Clemson
195,2025-09-13,12:00PM,kent-state:Kent State,buffalo:Buffalo
196,2025-09-13,12:00PM,michigan:Michigan,central-michigan:Central Michigan
228,2025-09-13,12:00PM,northwestern:Northwestern,oregon:Oregon
226,2025-09-13,12:00PM,temple:Temple,oklahoma:Oklahoma
213,2025-09-13,12:00PM,troy:Troy,memphis:Memphis
234,2025-09-13,12:45PM,auburn:Auburn,south-alabama:South Alabama
193,2025-09-13,,mississippi:Mississippi,arkansas:Arkansas
244,2025-09-13,,south-carolina:South Carolina,vanderbilt:Vanderbilt
253,2025-09-18,07:30PM,charlotte:Charlotte,rice:Rice
255,2025-09-19,07:00PM,oklahoma-state:Oklahoma State,tulsa:Tulsa
254,2025-09-19,08:00PM,rutgers:Rutgers,iowa:Iowa
261,2025-09-20,03:30PM,connecticut:Connecticut,ball-state:Ball State
283,2025-09-20,03:30PM,nebraska:Nebraska,michigan:Michigan
294,2025-09-20,03:30PM,notre-dame:Notre Dame,purdue:Purdue
292,2025-09-20,04:15PM,mississippi-state:Mississippi State,northern-illinois:Northern Illinois
267,2025-09-20,06:00PM,florida-international:Florida International,delaware:Delaware
275,2025-09-20,06:00PM,liberty:Liberty,james-madison:James Madison
262,2025-09-20,07:00PM,air-force:Air Force,boise-state:Boise State
259,2025-09-20,07:00PM,kennesaw-state:Kennesaw State,arkansas-state:Arkansas State
280,2025-09-20,07:00PM,middle-tennessee-state:Middle Tennessee State,marshall:Marshall
286,2025-09-20,07:00PM,western-kentucky:Western Kentucky,nevada:Nevada
300,2025-09-20,07:30PM,louisiana-tech:Louisiana Tech,southern-mississippi:Southern Mississippi
272,2025-09-20,07:30PM,vanderbilt:Vanderbilt,georgia-state:Georgia State
295,2025-09-20,08:00PM,texas:Texas,sam-houston-state:Sam Houston
278,2025-09-20,09:00PM,texas-el-paso:Texas-El Paso,louisiana-monroe:Louisiana-Monroe
265,2025-09-20,10:30PM,san-diego-state:San Diego State,california:California
270,2025-09-20,12:00AM,hawaii:Hawaii,fresno-state:Fresno State
291,2025-09-20,12:00PM,army:Army,north-texas:North Texas
256,2025-09-20,12:45PM,tennessee:Tennessee,alabama-birmingham:Alabama-Birmingham
257,2025-09-20,,baylor:Baylor,arizona-state:Arizona State
308,2025-09-20,,buffalo:Buffalo,troy:Troy
289,2025-09-20,,central-florida:Central Florida,north-carolina:North Carolina
302,2025-09-20,,clemson:Clemson,syracuse:Syracuse
306,2025-09-20,,colorado-state:Colorado State,texas-san-antonio:Texas-San Antonio
314,2025-09-20,,colorado:Colorado,wyoming:Wyoming
290,2025-09-20,,duke:Duke,north-carolina-state:North Carolina State
