,Date,time,home_team,away_team
0,2024-10-04,1:00PM,Buffalo Sabres,New Jersey Devils
1,2024-10-05,10:00AM,New Jersey Devils,Buffalo Sabres
4,2024-10-08,10:00PM,Utah Hockey Club,Chicago Blackhawks
3,2024-10-08,4:30PM,Seattle Kraken,St. Louis Blues
2,2024-10-08,7:00PM,Florida Panthers,Boston Bruins
5,2024-10-09,10:00PM,Edmonton Oilers,Winnipeg Jets
8,2024-10-09,10:00PM,Vancouver Canucks,Calgary Flames
9,2024-10-09,10:00PM,Vegas Golden Knights,Colorado Avalanche
6,2024-10-09,7:00PM,Montreal Canadiens,Toronto Maple Leafs
7,2024-10-09,7:30PM,Pittsburgh Penguins,New York Rangers
18,2024-10-10,10:30PM,San Jose Sharks,St. Louis Blues
10,2024-10-10,7:00PM,Boston Bruins,Montreal Canadiens
11,2024-10-10,7:00PM,Buffalo Sabres,Los Angeles Kings
14,2024-10-10,7:00PM,New Jersey Devils,Toronto Maple Leafs
17,2024-10-10,7:00PM,Ottawa Senators,Florida Panthers
16,2024-10-10,7:30PM,New York Islanders,Utah Hockey Club
12,2024-10-10,8:00PM,Detroit Red Wings,Pittsburgh Penguins
13,2024-10-10,8:00PM,Minnesota Wild,Columbus Blue Jackets
15,2024-10-10,8:00PM,Nashville Predators,Dallas Stars
20,2024-10-11,10:00PM,Vancouver Canucks,Philadelphia Flyers
21,2024-10-11,10:00PM,Vegas Golden Knights,St. Louis Blues
19,2024-10-11,7:00PM,Carolina Hurricanes,Tampa Bay Lightning
22,2024-10-11,8:00PM,Winnipeg Jets,Chicago Blackhawks
26,2024-10-12,10:00PM,Calgary Flames,Philadelphia Flyers
30,2024-10-12,10:00PM,Edmonton Oilers,Chicago Blackhawks
34,2024-10-12,10:00PM,San Jose Sharks,Anaheim Ducks
23,2024-10-12,1:00PM,Boston Bruins,Los Angeles Kings
24,2024-10-12,7:00PM,Buffalo Sabres,Florida Panthers
29,2024-10-12,7:00PM,Detroit Red Wings,Nashville Predators
32,2024-10-12,7:00PM,Montreal Canadiens,Ottawa Senators
33,2024-10-12,7:00PM,New York Rangers,Utah Hockey Club
35,2024-10-12,7:00PM,Toronto Maple Leafs,Pittsburgh Penguins
36,2024-10-12,7:00PM,Washington Capitals,New Jersey Devils
28,2024-10-12,8:00PM,Dallas Stars,New York Islanders
31,2024-10-12,8:00PM,Minnesota Wild,Seattle Kraken
27,2024-10-12,9:00PM,Colorado Avalanche,Columbus Blue Jackets
39,2024-10-13,10:00PM,Vegas Golden Knights,Anaheim Ducks
40,2024-10-13,6:00PM,Winnipeg Jets,Minnesota Wild
37,2024-10-13,8:00PM,Dallas Stars,Seattle Kraken
38,2024-10-13,8:00PM,Edmonton Oilers,Calgary Flames
41,2024-10-14,1:00PM,Boston Bruins,Florida Panthers
44,2024-10-14,1:00PM,New Jersey Devils,Utah Hockey Club
46,2024-10-14,1:00PM,Ottawa Senators,Los Angeles Kings
45,2024-10-14,7:00PM,New York Rangers,Detroit Red Wings
43,2024-10-14,7:30PM,Montreal Canadiens,Pittsburgh Penguins
42,2024-10-14,9:00PM,Colorado Avalanche,New York Islanders
52,2024-10-15,10:00PM,Edmonton Oilers,Philadelphia Flyers
47,2024-10-15,7:00PM,Carolina Hurricanes,New Jersey Devils
48,2024-10-15,7:00PM,Columbus Blue Jackets,Florida Panthers
55,2024-10-15,7:00PM,Tampa Bay Lightning,Vancouver Canucks
56,2024-10-15,7:00PM,Washington Capitals,Vegas Golden Knights
54,2024-10-15,7:30PM,St. Louis Blues,Minnesota Wild
