0,auburn:Auburn,louisville:Louisville
1,california-san-diego:UC San Diego,texas-am:Texas A&M
2,north-carolina:North Carolina,iowa-state:Iowa State
3,marquette:Marquette,michigan-state:Michigan State
4,florida:Florida,connecticut:UConn
5,memphis:Memphis,maryland:Maryland
6,drake:Drake,texas-tech:Texas Tech
7,kansas:Kansas,st-johns-ny:St. John's (NY)
8,duke:Duke,baylor:Baylor
9,oregon:Oregon,arizona:Arizona
10,brigham-young:BYU,wisconsin:Wisconsin
11,vanderbilt:Vanderbilt,alabama:Alabama
12,houston:Houston,gonzaga:Gonzaga
13,clemson:Clemson,high-point:High Point
14,illinois:Illinois,troy:Troy
15,utah-state:Utah State,tennessee:Tennessee
0,auburn:Auburn,california-san-diego:UC San Diego
1,north-carolina:North Carolina,michigan-state:Michigan State
2,florida:Florida,maryland:Maryland
3,texas-tech:Texas Tech,st-johns-ny:St. John's (NY)
4,duke:Duke,oregon:Oregon
5,wisconsin:Wisconsin,alabama:Alabama
6,gonzaga:Gonzaga,clemson:Clemson
7,illinois:Illinois,tennessee:Tennessee
0,auburn:Auburn,michigan-state:Michigan State
1,florida:Florida,texas-tech:Texas Tech
2,duke:Duke,alabama:Alabama
3,gonzaga:Gonzaga,tennessee:Tennessee
0,auburn:Auburn,florida:Florida
1,duke:Duke,gonzaga:Gonzaga
0,auburn:Auburn,duke:Duke
