symbol,score,cur_date
AMZN,98,2025-07-01
META,91,2025-07-01
NVDA,86,2025-07-01
MSFT,83,2025-07-01
TCTZF,70,2025-07-01
GOOG,68,2025-07-01
GOOGL,68,2025-07-01
UBER,63,2025-07-01
BABAF,60,2025-07-01
CRM,59,2025-07-01
WMT,59,2025-07-01
AVGO,58,2025-07-01
HXSCF,58,2025-07-01
NFLX,58,2025-07-01
NOW,58,2025-07-01
SNOW,58,2025-07-01
CTATF,57,2025-07-01
CYBR,57,2025-07-01
ANPDF,56,2025-07-01
XIACF,56,2025-07-01
MPNGF,55,2025-07-01
PANW,55,2025-07-01
ZS,55,2025-07-01
DDOG,54,2025-07-01
FI,54,2025-07-01
MRVL,54,2025-07-01
MU,54,2025-07-01
GELYF,53,2025-07-01
SSNLF,52,2025-07-01
AMD,51,2025-07-01
CRHKF,50,2025-07-01
CRWD,50,2025-07-01
PINS,50,2025-07-01
V,50,2025-07-01
XYZ,50,2025-07-01
FSLR,49,2025-07-01
HUBS,49,2025-07-01
TSMWF,49,2025-07-01
BSX,48,2025-07-01
DKNG,48,2025-07-01
MA,48,2025-07-01
AAPL,47,2025-07-01
ADBE,47,2025-07-01
DASH,47,2025-07-01
HD,47,2025-07-01
SHOP,47,2025-07-01
CIADF,46,2025-07-01
DT,46,2025-07-01
NHNCF,46,2025-07-01
ADYYF,45,2025-07-01
BYDDF,45,2025-07-01
FANG,45,2025-07-01
JDCMF,44,2025-07-01
WDAY,44,2025-07-01
CMG,43,2025-07-01
DXCM,43,2025-07-01
HYMLF,43,2025-07-01
MDB,43,2025-07-01
NETTF,43,2025-07-01
ORCL,43,2025-07-01
TTD,43,2025-07-01
AAIGF,42,2025-07-01
BKNG,42,2025-07-01
EXAS,42,2025-07-01
KUASF,42,2025-07-01
LAAOF,42,2025-07-01
S,42,2025-07-01
SNPTF,42,2025-07-01
TTWO,42,2025-07-01
BA,41,2025-07-01
DIS,41,2025-07-01
GH,41,2025-07-01
INTU,41,2025-07-01
OKTA,41,2025-07-01
SPGI,41,2025-07-01
AMAT,40,2025-07-01
AZNCF,40,2025-07-01
BMRN,40,2025-07-01
IVBXF,40,2025-07-01
KIMTF,40,2025-07-01
ONON,40,2025-07-01
POPMF,40,2025-07-01
COST,39,2025-07-01
CRBJF,39,2025-07-01
DHR,39,2025-07-01
ESTC,39,2025-07-01
KO,39,2025-07-01
LRCX,39,2025-07-01
NXPI,39,2025-07-01
PODD,39,2025-07-01
ADSK,38,2025-07-01
ASMLF,38,2025-07-01
BUDFF,38,2025-07-01
CP,38,2025-07-01
CXRMF,38,2025-07-01
GTLB,38,2025-07-01
NBIX,38,2025-07-01
SLB,38,2025-07-01
SZHIF,38,2025-07-01
VCISF,38,2025-07-01
CFLT,37,2025-07-01
ESOCF,37,2025-07-01
EXE,37,2025-07-01
HDALF,37,2025-07-01
ISRG,37,2025-07-01
KYMR,37,2025-07-01
SYK,37,2025-07-01
TEAM,37,2025-07-01
TMO,37,2025-07-01
TRPCF,37,2025-07-01
ALNY,36,2025-07-01
AZO,36,2025-07-01
BLBLF,36,2025-07-01
CI,36,2025-07-01
GILD,36,2025-07-01
GRAB,36,2025-07-01
HRZRF,36,2025-07-01
SBGSF,36,2025-07-01
TRGP,36,2025-07-01
YUMC,36,2025-07-01
ZJLMF,36,2025-07-01
BDWBF,35,2025-07-01
COP,35,2025-07-01
DNLI,35,2025-07-01
HNSPF,35,2025-07-01
IFNNF,35,2025-07-01
LH,35,2025-07-01
LLY,35,2025-07-01
MNDY,35,2025-07-01
NNFSF,35,2025-07-01
NTLA,35,2025-07-01
NTRA,35,2025-07-01
OS,35,2025-07-01
PR,35,2025-07-01
RCL,35,2025-07-01
SAPGF,35,2025-07-01
SPOT,35,2025-07-01
T,35,2025-07-01
TCMEF,35,2025-07-01
WING,35,2025-07-01
ADI,34,2025-07-01
AKESF,34,2025-07-01
CCL,34,2025-07-01
CHWY,34,2025-07-01
CLNXF,34,2025-07-01
CTRA,34,2025-07-01
HMDCF,34,2025-07-01
ORLY,34,2025-07-01
PRVA,34,2025-07-01
RARE,34,2025-07-01
SBMFF,34,2025-07-01
SNEJF,34,2025-07-01
XENE,34,2025-07-01
XPO,34,2025-07-01
XTPEF,34,2025-07-01
ANET,33,2025-07-01
AXSM,33,2025-07-01
CJEWF,33,2025-07-01
DELL,33,2025-07-01
DSMFF,33,2025-07-01
ENGQF,33,2025-07-01
GEV,33,2025-07-01
HNHAF,33,2025-07-01
IONS,33,2025-07-01
LNG,33,2025-07-01
LZAGF,33,2025-07-01
MELI,33,2025-07-01
MRUS,33,2025-07-01
PH,33,2025-07-01
PPCCF,33,2025-07-01
PWR,33,2025-07-01
PYPL,33,2025-07-01
RBLX,33,2025-07-01
REGN,33,2025-07-01
TNGCF,33,2025-07-01
AACAF,32,2025-07-01
ABBV,32,2025-07-01
ACLX,32,2025-07-01
APP,32,2025-07-01
ARGNF,32,2025-07-01
BIRK,32,2025-07-01
BKR,32,2025-07-01
BPIRF,32,2025-07-01
BURL,32,2025-07-01
CART,32,2025-07-01
CIMDF,32,2025-07-01
CTPVF,32,2025-07-01
DSDVF,32,2025-07-01
EMR,32,2025-07-01
FLUT,32,2025-07-01
FOUR,32,2025-07-01
GE,32,2025-07-01
HRSHF,32,2025-07-01
INSM,32,2025-07-01
JDLGF,32,2025-07-01
KKR,32,2025-07-01
MLTX,32,2025-07-01
PG,32,2025-07-01
QCOM,32,2025-07-01
QIHCF,32,2025-07-01
RWNFF,32,2025-07-01
SEMHF,32,2025-07-01
TMUS,32,2025-07-01
TPSRF,32,2025-07-01
VEEV,32,2025-07-01
VMC,32,2025-07-01
WIX,32,2025-07-01
YADGF,32,2025-07-01
ACRFF,31,2025-07-01
ADDDF,31,2025-07-01
AR,31,2025-07-01
BAIDF,31,2025-07-01
BCDRF,31,2025-07-01
BJ,31,2025-07-01
BRZE,31,2025-07-01
BSDGF,31,2025-07-01
BYDIF,31,2025-07-01
CRH,31,2025-07-01
CTVA,31,2025-07-01
DPZ,31,2025-07-01
DVN,31,2025-07-01
HWM,31,2025-07-01
KVYO,31,2025-07-01
LNNGF,31,2025-07-01
LOW,31,2025-07-01
RBRK,31,2025-07-01
ROKU,31,2025-07-01
SCHW,31,2025-07-01
SKMTF,31,2025-07-01
SNPS,31,2025-07-01
TKO,31,2025-07-01
UAL,31,2025-07-01
VKTX,31,2025-07-01
VRT,31,2025-07-01
WDC,31,2025-07-01
WXIBF,31,2025-07-01
ABT,30,2025-07-01
ACN,30,2025-07-01
AIQUF,30,2025-07-01
BABWF,30,2025-07-01
BROS,30,2025-07-01
CARR,30,2025-07-01
COIN,30,2025-07-01
CORZ,30,2025-07-01
CRSP,30,2025-07-01
CSCO,30,2025-07-01
CTGDF,30,2025-07-01
